elpased,Pos,Vel [rpm],smoothed [rpm],corrected,freq.,,T =,10,ms
0,18,42,0.282322818,0.282322818,16.9393691,,,,
0.01,94,180,88.59462088,28.59462088,5315.677253,,,,
0.02,209,273,170.5156846,110.5156846,10230.94108,,,,
0.03,105,323,240.7028984,180.7028984,14442.1739,,,,
0.04,232,301,295.8072148,235.8072148,17748.43289,,,,
0.05,151,377,334.9467457,274.9467457,20096.80474,,,,
0.06,52,334,359.5386674,299.5386674,21572.32005,,,,
0.07,219,396,372.5792739,312.5792739,22354.75643,,,,
0.08,140,382,377.6983127,317.6983127,22661.89876,,,,
0.09,53,363,378.3296184,318.3296184,22699.7771,,,,
0.1,221,399,377.1807665,317.1807665,22630.84599,,,,
0.11,128,349,376.012275,316.012275,22560.7365,,,,
0.12,57,401,375.6537656,315.6537656,22539.22594,,,,
0.13,204,349,376.1805798,316.1805798,22570.83479,,,,
0.14,132,399,377.1924254,317.1924254,22631.54552,,,,
0.15,56,389,378.1385184,318.1385184,22688.31111,,,,
0.16,209,363,378.6150445,318.6150445,22716.90267,,,,
0.17,137,399,378.5423164,318.5423164,22712.53898,,,,
0.18,43,346,378.1532753,318.1532753,22689.19652,,,,
0.19,212,401,377.8079101,317.8079101,22668.4746,,,,
0.2,117,344,377.7425606,317.7425606,22664.55364,,,,
0.21,46,401,377.9010764,317.9010764,22674.06458,,,,
0.22,210,389,377.9501054,317.9501054,22677.00632,,,,
0.23,121,358,377.4762811,317.4762811,22648.57686,,,,
0.24,49,399,376.2559179,316.2559179,22575.35507,,,,
0.25,195,346,374.4483135,314.4483135,22466.89881,,,,
0.26,122,396,372.6179896,312.6179896,22357.07938,,,,
0.27,26,341,371.5879806,311.5879806,22295.27883,,,,
0.28,194,399,372.1956675,312.1956675,22331.74005,,,,
