elapsed,pos,vel,smoothed,freq
0,0,0,0,
0.01,205,486,61.04444185,
0.02,129,389,120.7789595,
0.03,166,87,177.4962047,
0.04,56,308,229.8867537,
0.05,193,325,276.8622747,
0.06,106,363,317.6147121,
0.07,27,382,351.658163,
0.08,191,389,378.8470184,
0.09,141,451,399.3672048,
0.1,76,415,413.7011865,
0.11,3,396,422.570778,
0.12,170,396,426.864517,
0.13,97,396,427.5581296,
0.14,22,391,425.6369802,
0.15,188,394,422.0281552,
0.16,140,455,417.5474049,
0.17,66,394,412.8633753,
0.18,232,394,408.4792006,
0.19,157,391,404.7300947,
0.2,85,399,401.7948791,
0.21,11,394,399.7187708,
0.22,194,434,398.4439115,
0.23,139,439,397.8433164,
0.24,64,391,397.7537314,
0.25,233,401,398.0036828,
0.26,161,399,398.4346331,
0.27,86,391,398.9148882,
0.28,13,396,399.3470482,
0.29,203,451,399.6702093,
