elapsed,pos,vel,smoothed,rps,rad/s,,vel avg
0,178,0,0,0,0,,475.9285756
0.01,208,71,63.01126791,1.050187799,6.598524545,,
0.02,33,154,124.7242124,2.078736873,13.06108898,,
0.03,170,325,183.9042428,3.065070713,19.25840727,,
0.04,181,26,239.4785309,3.991308848,25.07813311,,
0.05,56,273,290.4932845,4.841554742,30.42038562,,
0.06,217,382,336.1378253,5.602297088,35.20027075,,
0.07,142,391,375.783956,6.263065933,39.35200385,,
0.08,76,413,409.0381359,6.817302265,42.83437343,,
0.09,41,486,435.7894983,7.263158305,45.63576955,,
0.1,226,439,456.2337019,7.603895032,47.77668154,,
0.11,198,503,470.8602021,7.847670035,49.30836506,,
0.12,148,451,480.4018447,8.006697412,50.30756354,,
0.13,99,453,485.7559254,8.09593209,50.86824156,,
0.14,75,513,487.8922864,8.131538107,51.09196076,,
0.15,27,455,487.7648629,8.129414382,51.078617,,
0.16,234,491,486.238864,8.103981067,50.91881477,,
0.17,209,510,484.0394661,8.067324435,50.68849436,,
0.18,159,451,481.7225393,8.028708988,50.44586635,,
0.19,135,513,479.6649257,7.994415428,50.23039356,,
0.2,86,453,478.0711595,7.967852658,50.06349475,,
0.21,37,453,476.9943125,7.949905208,49.9507276,,
0.22,12,510,476.3691537,7.939485895,49.88526112,,
0.23,202,451,476.0546175,7.934243625,49.85232297,,
0.24,178,513,475.8798768,7.93133128,49.83402416,,
0.25,142,484,475.6861546,7.928102577,49.81373762,,
0.26,92,451,475.3569505,7.922615842,49.77926345,,
0.27,65,505,474.832886,7.913881433,49.72438354,,
0.28,14,448,474.1120695,7.901867825,49.64889982,,
