elpased,Pos,Vel [rpm],smoothed,freq
0,156,0,0.157234634,9.43407807
0.01,190,80,76.33971821,4580.383093
0.02,80,308,147.262475,8835.748499
0.03,83,577,208.5866207,12515.19724
0.04,117,80,257.6454794,15458.72876
0.05,202,201,293.6696983,17620.1819
0.06,75,268,317.55094,19053.0564
0.07,204,306,331.3187029,19879.12217
0.08,102,327,337.5485376,20252.91226
0.09,4,337,338.8580642,20331.48385
0.1,149,344,337.5569969,20253.41981
0.11,55,346,335.4527539,20127.16523
0.12,201,346,333.7816351,20026.8981
0.13,106,344,333.2270481,19993.62288
0.14,230,294,333.9919983,20039.5199
0.15,137,349,335.9049629,20154.29777
0.16,44,349,338.547105,20312.8263
0.17,190,346,341.3887741,20483.32645
0.18,96,346,343.9180968,20635.08581
0.19,3,349,345.7431449,20744.5887
0.2,150,349,346.6549789,20799.29873
0.21,56,346,346.6476377,20798.85826
0.22,201,344,345.8985311,20753.91187
0.23,107,346,344.7176202,20683.05721
0.24,14,349,343.4765639,20608.59384
0.25,159,344,342.5302835,20551.81701
0.26,54,320,342.1444381,20528.66629
0.27,195,334,342.4434223,20546.60534
0.28,102,349,343.3920452,20603.52271
0.29,8,346,344.816699,20689.00194
