elapsed,Pos,Vel [rpm],smoothed
0,0,0,0.134872864
0.01,88,209,52.92017804
0.02,39,453,104.7145709
0.03,72,78,154.5809536
0.04,181,258,201.6845577
0.05,181,0,245.3300703
0.06,58,277,284.9858882
0.07,224,394,320.2955562
0.08,118,318,351.0775002
0.09,37,377,377.3147256
0.1,227,451,399.1365756
0.11,83,227,416.7949885
0.12,33,451,430.6378445
0.13,229,465,441.0818036
0.14,185,465,448.5864441
0.15,115,403,453.6307243
0.16,72,467,456.6922172
0.17,28,465,458.2293384
0.18,225,467,458.6667134
0.19,170,439,458.3837169
0.2,121,453,457.7061357
0.21,121,0,456.9008711
0.22,77,465,456.1735693
0.23,33,465,455.6689949
0.24,229,465,455.473894
0.25,160,406,455.6221083
0.26,160,0,456.1017694
0.27,116,465,456.8644113
0.28,73,467,457.8356749
0.29,29,465,458.926959
